
number of time samples: 2
mutations in first time sample: 5355
mutations in final time sample: 16738

mutations from burn-in simulation
ID	start count pop 1	start count pop 2	final count pop 1	final count pop 2
(8951,0,167,0)	14	138	1000	1000
(10685,0,113,0)	197	418	895	989
(11090,1,60,0)	694	651	1000	1000
(11303,0,47,0)	240	421	981	993
(11882,1,101,0)	113	20	1000	1000
(11975,0,191,0)	562	651	1000	1000
(12280,1,100,0)	0	34	1000	1000
(12388,0,68,0)	383	583	1000	1000
(13384,1,147,0)	349	237	1000	1000
(13429,0,160,0)	62	185	1000	1000

mutations from scenario simulation
ID	start count pop 1	start count pop 2	final count pop 1	final count pop 2
(20001,0,15,0)	0	0	833	964
(20001,1,3,0)	0	0	842	964
(20001,1,14,0)	0	0	990	998
(20001,1,33,0)	0	0	923	954
(20001,1,87,0)	0	0	770	960
(20001,1,99,0)	0	0	761	997
(20001,1,133,0)	0	0	987	997
(20001,1,135,0)	0	0	660	821
(20002,0,45,0)	0	0	928	983
(20002,0,95,0)	0	0	763	925
