SFS :
allele count	avg# mutations	standard dev	coeff of variation (aka relative standard deviation)
1	0.391011	0.00047639	0.00121835
2	0.134589	0.000159877	0.00118789
3	0.0682709	0.000103953	0.00152265
4	0.0414971	8.52618e-05	0.00205465
5	0.0280343	7.70602e-05	0.00274878
6	0.0203113	6.93457e-05	0.00341414
7	0.0154729	6.07323e-05	0.00392507
8	0.0122438	5.21178e-05	0.00425668
9	0.00998298	4.4347e-05	0.00444226
10	0.00833932	3.77886e-05	0.00453137
11	0.00710717	3.24374e-05	0.00456404
12	0.00615972	2.8097e-05	0.0045614
13	0.00541546	2.45259e-05	0.00452887
14	0.00482004	2.15229e-05	0.0044653
15	0.0043362	1.89665e-05	0.004374
16	0.00393756	1.68352e-05	0.00427553
17	0.0036051	1.51912e-05	0.0042138
18	0.00332483	1.41175e-05	0.00424608
19	0.00308624	1.36234e-05	0.00441424
20	0.00288134	1.35952e-05	0.00471836
21	0.00270393	1.38271e-05	0.00511369
22	0.00254918	1.41045e-05	0.00553296
23	0.00241329	1.4267e-05	0.00591186
24	0.00229321	1.42318e-05	0.00620605
25	0.00218646	1.39906e-05	0.00639876
26	0.00209106	1.35936e-05	0.00650079
27	0.0020054	1.31216e-05	0.00654312
28	0.00192813	1.26575e-05	0.00656463
29	0.00185813	1.22585e-05	0.00659724
30	0.00179446	1.1943e-05	0.00665551
31	0.0017363	1.16925e-05	0.00673415
32	0.00168301	1.14686e-05	0.00681434
33	0.00163401	1.12329e-05	0.00687442
34	0.0015888	1.09615e-05	0.00689923
35	0.00154694	1.06503e-05	0.00688477
36	0.00150805	1.03147e-05	0.00683977
37	0.00147189	9.98302e-06	0.00678246
38	0.00143813	9.68767e-06	0.00673628
39	0.00140657	9.45745e-06	0.00672378
40	0.00137696	9.30945e-06	0.00676089
41	0.00134915	9.24751e-06	0.00685431
42	0.00132297	9.26168e-06	0.00700067
43	0.00129829	9.33431e-06	0.00718971
44	0.00127497	9.44488e-06	0.00740793
45	0.0012529	9.57434e-06	0.00764173
46	0.00123198	9.70762e-06	0.00787971
47	0.0012121	9.83374e-06	0.00811298
48	0.00119316	9.94441e-06	0.00833454
49	0.00117511	1.00341e-05	0.00853886
50	0.0011579	1.00989e-05	0.0087218
51	0.00114142	1.01359e-05	0.00888008
52	0.00112562	1.01444e-05	0.00901224
53	0.00111047	1.01256e-05	0.0091183
54	0.0010959	1.00826e-05	0.00920034
55	0.00108187	1.00201e-05	0.00926187
56	0.00106835	9.94365e-06	0.00930749
57	0.0010553	9.85795e-06	0.00934136
58	0.00104269	9.76702e-06	0.0093671
59	0.00103049	9.67285e-06	0.00938665
60	0.00101868	9.57655e-06	0.0094009
61	0.00100722	9.47755e-06	0.00940963
62	0.000996091	9.37544e-06	0.00941223
63	0.00098527	9.26996e-06	0.00940855
64	0.000974745	9.16148e-06	0.00939886
65	0.000964501	9.05126e-06	0.00938439
66	0.000954533	8.94114e-06	0.00936703
67	0.000944813	8.83267e-06	0.00934859
68	0.000935339	8.72788e-06	0.00933125
69	0.000926098	8.62772e-06	0.00931621
70	0.000917085	8.53301e-06	0.00930449
71	0.000908288	8.44361e-06	0.00929618
72	0.000899728	8.35923e-06	0.00929084
73	0.000891333	8.27822e-06	0.00928746
74	0.000883136	8.19953e-06	0.00928456
75	0.00087513	8.1217e-06	0.00928057
76	0.000867313	8.04309e-06	0.00927358
77	0.000859662	7.96187e-06	0.00926163
78	0.000852183	7.8766e-06	0.00924285
79	0.000844859	7.78604e-06	0.00921579
80	0.000837679	7.68925e-06	0.00917923
81	0.000830633	7.58595e-06	0.00913273
82	0.000823741	7.47666e-06	0.00907647
83	0.000816975	7.36194e-06	0.00901122
84	0.000810335	7.24315e-06	0.00893846
85	0.000803801	7.12153e-06	0.00885982
