SFS :
allele count	avg# mutations	standard dev	coeff of variation (aka relative standard deviation)
1	0.390925	0.00116768	0.00298698
2	0.134584	0.000510639	0.0037942
3	0.0682546	0.000389478	0.00570624
4	0.0414713	0.000292478	0.00705255
5	0.028009	0.000215763	0.00770335
6	0.0202945	0.000166706	0.00821435
7	0.0154675	0.000137978	0.00892052
8	0.0122485	0.000120359	0.00982641
9	0.00999498	0.000108114	0.0108168
10	0.00835558	9.84844e-05	0.0117867
11	0.00712539	9.05802e-05	0.0127123
12	0.00617829	8.44142e-05	0.013663
13	0.00543324	7.98855e-05	0.0147031
14	0.0048362	7.63557e-05	0.0157884
15	0.00435012	7.29898e-05	0.0167788
16	0.00394882	6.92314e-05	0.0175322
17	0.00361348	6.49559e-05	0.017976
18	0.00333033	6.03482e-05	0.0181208
19	0.00308905	5.57087e-05	0.0180342
20	0.00288183	5.13264e-05	0.0178103
21	0.0027026	4.74496e-05	0.017557
22	0.0025466	4.43118e-05	0.0174004
23	0.00241005	4.21336e-05	0.0174825
24	0.00228988	4.10626e-05	0.0179323
25	0.00218348	4.10798e-05	0.0188139
26	0.00208878	4.19725e-05	0.0200943
27	0.00200399	4.3401e-05	0.0216573
28	0.00192764	4.50067e-05	0.0233481
29	0.00185849	4.64907e-05	0.0250153
30	0.00179552	4.76417e-05	0.0265337
31	0.00173786	4.8334e-05	0.0278124
32	0.00168486	4.85148e-05	0.0287945
33	0.00163596	4.81869e-05	0.0294549
34	0.00159069	4.73961e-05	0.029796
35	0.00154865	4.62194e-05	0.0298449
36	0.00150952	4.47552e-05	0.0296486
37	0.00147307	4.31149e-05	0.0292687
38	0.00143901	4.14089e-05	0.0287759
39	0.00140715	3.97415e-05	0.0282426
40	0.00137726	3.81977e-05	0.0277346
41	0.00134919	3.68365e-05	0.0273026
42	0.00132278	3.56825e-05	0.0269753
43	0.00129791	3.47257e-05	0.0267552
44	0.00127443	3.39275e-05	0.0266218
45	0.00125224	3.32317e-05	0.0265379
46	0.00123122	3.25801e-05	0.0264616
47	0.00121129	3.19251e-05	0.0263562
48	0.00119233	3.12377e-05	0.0261988
49	0.0011743	3.05123e-05	0.0259834
50	0.00115712	2.97609e-05	0.0257197
51	0.00114072	2.90071e-05	0.0254288
52	0.00112501	2.82792e-05	0.0251368
53	0.00110998	2.76034e-05	0.0248684
54	0.00109556	2.6997e-05	0.0246422
55	0.00108171	2.64677e-05	0.0244685
56	0.00106839	2.60143e-05	0.024349
57	0.00105558	2.56284e-05	0.0242789
58	0.00104324	2.52979e-05	0.0242493
59	0.00103134	2.50093e-05	0.0242494
60	0.00101985	2.47502e-05	0.0242685
61	0.00100872	2.45089e-05	0.0242971
62	0.000997933	2.42775e-05	0.0243278
63	0.00098745	2.40501e-05	0.0243558
64	0.000977248	2.38243e-05	0.024379
65	0.000967298	2.36005e-05	0.0243984
66	0.000957583	2.3382e-05	0.0244177
67	0.000948065	2.31728e-05	0.0244422
68	0.000938731	2.29784e-05	0.0244781
69	0.000929566	2.2803e-05	0.0245308
70	0.000920561	2.26489e-05	0.0246034
71	0.000911705	2.25151e-05	0.0246955
72	0.000903023	2.23978e-05	0.0248032
73	0.000894451	2.2288e-05	0.0249181
74	0.000886029	2.2177e-05	0.0250296
75	0.000877762	2.20545e-05	0.0251258
76	0.000869662	2.19116e-05	0.0251956
77	0.000861715	2.17419e-05	0.025231
78	0.000853941	2.15434e-05	0.0252282
79	0.000846335	2.13186e-05	0.0251893
80	0.000838894	2.10745e-05	0.0251218
81	0.00083162	2.08222e-05	0.0250381
82	0.000824538	2.05755e-05	0.024954
83	0.000817625	2.03473e-05	0.0248859
84	0.000810885	2.01495e-05	0.0248488
85	0.000804296	1.99897e-05	0.0248537
86	0.000797863	1.98713e-05	0.0249057
87	0.000791592	1.97928e-05	0.0250038
88	0.00078544	1.97473e-05	0.0251417
89	0.000779416	1.97261e-05	0.0253087
90	0.000773505	1.97187e-05	0.0254926
91	0.000767694	1.97157e-05	0.0256817
92	0.000761974	1.97095e-05	0.0258663
93	0.000756336	1.96958e-05	0.0260411
94	0.000750755	1.96731e-05	0.0262044
95	0.000745229	1.96438e-05	0.0263594
96	0.000739762	1.96132e-05	0.0265128
97	0.000734337	1.95881e-05	0.0266745
98	0.000728966	1.95773e-05	0.0268562
99	0.000723639	1.95891e-05	0.0270702
100	0.000718351	1.96315e-05	0.0273286
101	0.000713121	1.97119e-05	0.0276417
102	0.00070795	1.9835e-05	0.0280176
103	0.00070284	2.00037e-05	0.0284612
104	0.000697794	2.02177e-05	0.0289737
105	0.000692796	2.04738e-05	0.0295524
106	0.000687873	2.07672e-05	0.0301904
107	0.00068303	2.10899e-05	0.030877
108	0.000678293	2.14327e-05	0.031598
109	0.000673606	2.17823e-05	0.0323368
110	0.000668995	2.2127e-05	0.033075
111	0.000664465	2.24546e-05	0.0337935
