seed1	-1091571699
seed2	-557122643
num_generations	1000
num_sites	2e+08
num_populations	2
init_mse	0
prev_sim_sample	0
compact_interval	100
device	0

time sample:	0		1	
generation:	20000		21000	
number of mutations reported:	5288		16736	
population:	0	1	0	1
effective population size (chromosomes):	1000	1000	1000	1000
population extinct:	0	0	0	0
mutation ID (origin_generation,origin_population,origin_threadID,reserved)	frequency	frequency	frequency	frequency
(10213,0,6,0):	0.074	0.259	1	1
(10880,0,47,0):	0.095	0.279	0.844	0.994
(11951,0,18,0):	0.355	0.167	0.803	0.949
(12621,0,15,0):	0.987	0.984	1	1
(12714,1,20,0):	0	0.041	0	0
(13316,1,88,0):	0.579	0.308	1	1
(13404,0,121,0):	0.072	0.093	1	1
(13486,0,173,0):	0.109	0.28	1	1
(13611,0,50,0):	0.124	0.256	1	1
(13699,1,64,0):	0.502	0.386	1	1
(13815,1,170,0):	0	0.015	1	1
(13969,1,143,0):	0.097	0.153	1	1
(14061,0,76,0):	0.228	0.223	0.817	0.95
(14097,0,20,0):	0.021	0.071	1	1
(14277,1,38,0):	0.059	0.024	1	1
(14379,0,152,0):	0.168	0.112	1	1
(14398,1,22,0):	0.486	0.545	1	1
(14441,1,113,0):	0.065	0.075	1	1
(14448,1,134,0):	0.042	0.08	0.658	0.938
(14453,1,3,0):	0.287	0.378	1	1
(14492,1,77,0):	0.164	0.253	1	1
(14498,0,45,0):	0.981	1	1	1
(14520,1,189,0):	0.342	0.178	1	1
(14523,1,82,0):	0.374	0.596	1	1
(14538,1,90,0):	0.383	0.255	1	1
(14562,0,212,0):	0.972	0.846	1	1
(14564,1,120,0):	0.041	0	0.703	0.965
(14597,0,94,0):	0.195	0.375	1	1
(14752,1,92,0):	0.073	0.13	1	1
(14758,1,172,0):	0.275	0.218	1	1
(14761,0,167,0):	0.08	0.025	0	0
(14763,0,215,0):	0.154	0.227	1	1
(14836,1,123,0):	0.031	0.145	0.927	0.955
(14959,1,112,0):	0.125	0.139	0.724	0.956
(14981,0,137,0):	0.22	0.165	1	1
(15107,1,87,0):	0.019	0.244	0.979	1
(15122,1,2,0):	0.213	0.03	1	1
(15200,1,58,0):	0.214	0.404	1	1
(15235,0,164,0):	0.568	0.373	1	1
(15239,1,80,0):	0.069	0.114	1	1
(15246,1,9,0):	0.297	0.079	1	1
(15300,1,195,0):	0.775	0.646	0.958	1
(15308,0,8,0):	0.116	0.189	1	1
(15403,1,133,0):	0.092	0.11	0.933	0.989
(15426,1,142,0):	0.785	0.872	0.96	1
(15446,0,19,0):	0.63	0.626	1	1
(15468,0,78,0):	0.017	0.215	0.936	0.966
(15496,1,215,0):	0.06	0.064	0.783	0.991
(15519,1,94,0):	0.08	0.018	1	1
(15520,0,2,0):	0.587	0.579	1	1
(15526,0,20,0):	0.489	0.472	1	1
(15579,0,148,0):	0.146	0.137	0.675	0.972
(15600,0,111,0):	0.444	0.562	0.879	0.982
(15621,0,195,0):	0.777	0.869	1	1
(15626,1,20,0):	0.114	0.25	1	1
(15643,0,101,0):	0.054	0.008	0.744	0.983
(15670,0,146,0):	0.066	0.121	0.788	0.868
(15681,0,192,0):	0.523	0.517	0.746	0.898
(15705,1,95,0):	0.183	0.235	0.911	0.999
(15767,0,144,0):	0.116	0.005	1	1
(15778,1,70,0):	0.31	0.402	0.915	1
(15786,1,79,0):	0.231	0.191	1	1
(15787,0,158,0):	0.406	0.702	0.844	0.983
(15817,1,170,0):	0.411	0.467	1	1
(15828,1,153,0):	0.077	0.034	1	1
(15841,0,92,0):	0.112	0.174	1	0.994
(15851,0,34,0):	0.14	0.144	1	1
(15852,1,16,0):	0.437	0.405	1	1
(15875,0,151,0):	0	0.028	0	0
(15893,0,158,0):	0.588	0.398	1	1
(15904,0,49,0):	0.241	0.242	1	1
(15916,1,77,0):	0.048	0.138	0.95	0.971
(15989,0,145,0):	0.144	0.193	1	1
(16011,0,120,0):	0.334	0.336	1	1
(16012,0,67,0):	0.88	0.931	1	1
(16088,0,53,0):	0.978	0.97	1	1
(16091,1,50,0):	0.241	0.336	0.703	0.941
(16093,1,70,0):	0.627	0.719	1	1
(16159,0,76,0):	0.611	0.543	1	1
(16170,0,186,0):	0.409	0.413	1	1
(16220,0,60,0):	0.749	0.786	1	1
(16221,0,180,0):	0.142	0.368	1	1
(16227,0,60,0):	0.304	0.309	1	1
(16246,0,47,0):	0.666	0.839	1	1
(16279,1,205,0):	0.113	0.274	1	1
(16281,0,86,0):	0.163	0.148	1	1
(16305,1,125,0):	0.285	0.53	1	1
(16346,0,69,0):	0.949	0.831	1	1
(16347,0,45,0):	0.102	0.081	1	1
(16349,1,47,0):	0.07	0.107	0.855	0.932
(16353,1,194,0):	0.144	0.061	0.893	0.99
(16355,1,74,0):	0.642	0.858	1	1
(16364,1,140,0):	0.016	0.012	1	1
