seed1	3203395597
seed2	3737844653
num_generations	1000
num_sites	2e+08
num_populations	2
init_mse	0
prev_sim_sample	0
compact_type	compact_all
compact_interval	100
device	0

number of time samples	2
time sample	0		1
generation	20000		21000
number of mutations reported	5221		16682
total number of mutations generated	5221		404902
population	0	1	0	1
effective population size (chromosomes)	1000	1000	1000	1000
population extinct	0	0	0	0
mutation ID (origin_generation,origin_population,origin_threadID,reserved)	allele counts	allele counts	allele counts	allele counts
(10516,1,163,0)	100	297	1000	1000
(12229,1,2,0)	657	760	1000	1000
(12379,1,104,0)	252	266	836	961
(12610,1,142,0)	215	158	656	896
(13056,0,112,0)	65	31	948	988
(13207,0,20,0)	483	446	1000	1000
(13352,1,83,0)	394	596	1000	1000
(13448,1,25,0)	171	226	1000	1000
(13604,1,106,0)	925	956	1000	1000
(13669,1,39,0)	726	677	764	976
(13784,1,105,0)	66	54	1000	1000
(13918,1,57,0)	375	192	958	998
(14283,0,6,0)	430	167	884	963
(14657,0,125,0)	6	132	1000	1000
(14672,0,55,0)	392	555	1000	1000
(14672,1,142,0)	265	410	1000	1000
(14763,1,16,0)	91	166	888	994
(14769,0,94,0)	575	458	1000	1000
(14812,1,25,0)	823	826	1000	1000
(14832,0,112,0)	345	400	1000	1000
(14905,1,204,0)	43	52	1000	1000
(14982,1,107,0)	11	48	0	0
(15035,0,12,0)	568	808	1000	1000
(15130,1,67,0)	813	450	944	914
(15225,0,145,0)	205	148	956	998
(15225,1,22,0)	728	596	917	995
(15276,1,27,0)	975	981	1000	1000
(15323,1,203,0)	476	599	1000	1000
(15346,0,151,0)	671	550	900	969
(15348,1,138,0)	40	81	896	926
(15378,1,185,0)	534	585	945	996
(15413,0,8,0)	238	499	1000	1000
(15417,1,75,0)	175	337	1000	1000
(15472,1,79,0)	181	199	523	903
(15489,0,0,0)	189	87	955	991
(15512,0,191,0)	83	8	0	0
(15542,0,41,0)	379	264	1000	1000
(15586,0,157,0)	527	583	1000	1000
(15601,0,1,0)	986	1000	1000	1000
(15669,1,181,0)	0	8	642	960
(15723,0,190,0)	230	186	798	967
(15780,0,45,0)	442	605	1000	1000
(15819,0,139,0)	200	71	1000	996
(15857,1,54,0)	189	500	1000	1000
(15884,1,53,0)	784	758	1000	1000
(15890,0,39,0)	45	166	1000	1000
(15985,1,8,0)	331	311	1000	1000
(16060,0,38,0)	94	216	1000	1000
(16128,0,103,0)	322	297	1000	1000
(16169,1,14,0)	143	167	1000	1000
(16173,1,78,0)	842	657	1000	1000
(16249,1,207,0)	991	996	1000	1000
(16309,0,11,0)	55	299	1000	1000
(16325,0,191,0)	190	337	973	1000
(16332,0,186,0)	295	195	883	967
(16350,1,125,0)	327	239	1000	1000
(16352,1,110,0)	657	734	1000	1000
(16384,1,25,0)	104	137	895	999
(16393,1,38,0)	41	229	1000	1000
(16409,0,22,0)	255	497	1000	1000
(16409,1,180,0)	457	327	1000	1000
(16409,1,201,0)	81	143	948	987
(16421,1,49,0)	141	36	1000	1000
(16428,1,19,0)	375	274	1000	1000
(16442,1,50,0)	187	261	912	993
(16495,0,24,0)	301	136	1000	1000
(16511,0,21,0)	48	9	0	0
(16547,0,84,0)	519	538	888	934
(16566,1,3,0)	56	27	782	955
(16584,0,118,0)	768	698	1000	1000
(16596,0,117,0)	701	666	1000	1000
(16604,1,72,0)	70	37	891	986
(16618,1,191,0)	921	828	1000	1000
(16630,0,135,0)	425	416	1000	1000
(16632,0,70,0)	385	530	700	972
(16639,1,114,0)	384	493	1000	1000
(16668,1,40,0)	556	361	975	945
(16673,0,134,0)	501	662	1000	1000
(16689,0,68,0)	660	607	1000	1000
(16701,0,132,0)	165	74	946	1000
(16706,1,84,0)	713	882	969	945
(16740,0,171,0)	845	784	1000	1000
(16744,1,46,0)	833	738	1000	1000
(16775,1,49,0)	0	19	0	0
(16775,1,107,0)	195	22	1000	1000
(16778,1,49,0)	2	10	1000	1000
(16799,1,20,0)	552	416	1000	1000
(16851,1,120,0)	527	449	1000	1000
(16853,0,13,0)	435	451	1000	1000
(16877,1,63,0)	624	528	1000	1000
(16880,0,117,0)	211	650	1000	1000
(16901,1,213,0)	651	561	1000	1000
(16907,1,169,0)	472	263	1000	1000
(16909,1,162,0)	853	787	1000	1000
(16911,1,164,0)	226	202	909	967
(16922,0,148,0)	3	3	0	0
(16956,0,204,0)	491	606	1000	1000
(16956,1,99,0)	877	908	1000	1000
(16966,1,129,0)	566	663	1000	1000
(16976,0,94,0)	338	530	1000	1000
(16980,1,54,0)	34	12	0	0
(17017,0,114,0)	208	321	954	987
(17028,1,171,0)	591	568	1000	1000
(17038,0,54,0)	124	83	1000	1000
(17040,1,28,0)	131	114	993	995
(17047,1,28,0)	73	61	812	983
(17051,1,105,0)	254	120	963	999
(17059,1,49,0)	422	474	1000	1000
(17076,1,117,0)	303	432	1000	1000
(17111,0,46,0)	67	115	936	992
(17112,0,133,0)	487	461	1000	1000
(17123,1,52,0)	25	114	1000	1000
(17156,1,39,0)	549	665	1000	1000
(17158,0,52,0)	41	31	879	992
(17158,0,61,0)	29	13	0	0
(17160,0,42,0)	37	134	1000	1000
(17194,0,84,0)	181	323	1000	1000
(17201,0,38,0)	0	23	0	0
(17219,1,49,0)	528	389	885	986
(17224,1,158,0)	835	752	1000	1000
(17227,0,41,0)	235	477	1000	1000
(17230,1,7,0)	42	29	0	0
(17243,1,166,0)	365	219	1000	1000
(17249,0,205,0)	794	957	1000	1000
(17255,1,126,0)	275	284	956	952
(17280,1,5,0)	190	59	1000	1000
(17285,1,114,0)	349	364	825	977
(17313,1,156,0)	382	232	1000	1000
(17317,0,32,0)	583	360	1000	1000
(17350,1,122,0)	1	43	1000	1000
(17372,1,117,0)	65	381	1000	1000
(17374,1,22,0)	510	688	773	960
(17382,0,163,0)	402	309	1000	1000
(17384,0,74,0)	577	398	1000	1000
(17397,1,135,0)	145	173	1000	1000
(17398,0,55,0)	167	117	961	1000
(17430,0,187,0)	202	113	1000	1000
(17439,0,161,0)	36	4	539	864
(17443,1,62,0)	31	57	711	922
(17449,1,70,0)	2	0	0	0
(17451,1,195,0)	0	2	0	0
(17458,0,90,0)	3	13	0	0
(17459,0,114,0)	74	24	0	0
(17462,1,31,0)	47	0	1000	1000
(17466,1,181,0)	324	529	1000	1000
(17470,1,170,0)	291	133	1000	1000
(17475,1,73,0)	292	428	1000	1000
(17488,1,191,0)	433	520	1000	1000
(17489,0,165,0)	208	394	1000	1000
(17490,0,41,0)	785	765	1000	1000
(17490,0,184,0)	235	91	834	957
(17492,0,47,0)	134	186	677	932
(17496,1,172,0)	423	263	1000	1000
(17499,1,38,0)	662	675	1000	1000
(17505,1,82,0)	277	231	1000	1000
(17514,0,119,0)	965	822	1000	1000
(17520,1,209,0)	491	506	998	997
(17528,1,103,0)	3	0	0	0
(17536,0,120,0)	314	316	726	961
(17545,0,11,0)	107	22	904	979
(17545,0,96,0)	292	292	766	920
(17549,1,21,0)	710	884	1000	1000
(17557,0,185,0)	134	228	1000	1000
(17562,1,54,0)	326	480	1000	1000
(17580,1,67,0)	896	749	1000	1000
(17584,0,4,0)	286	479	663	936
(17586,1,8,0)	129	143	1000	1000
(17600,0,24,0)	296	189	947	958
(17600,0,64,0)	102	206	1000	1000
(17601,0,14,0)	647	593	1000	1000
(17601,1,38,0)	278	266	987	985
(17609,1,196,0)	721	210	871	946
(17641,0,4,0)	28	10	714	966
(17644,1,147,0)	567	594	1000	1000
(17650,1,118,0)	181	398	1000	1000
(17650,1,158,0)	166	240	1000	1000
(17650,1,161,0)	398	238	938	928
(17661,1,147,0)	0	14	0	0
(17664,0,77,0)	242	309	1000	1000
